key,mean,ci_low,ci_high,classification,path_positive,path_negative,path_zero,block_positive,block_negative,block_zero
FULL_MINUS_HALF|C0|INTERACTION|D40,-0.036295572916666664,-0.06982625325520833,-0.004313151041666667,negative,18,28,146,5,15,4
FULL_MINUS_HALF|C0|INTERACTION|F,-0.016312662760416673,-0.03366780598958334,0.0004381815592447289,unresolved,30,42,120,8,15,1
FULL_MINUS_HALF|C0|INTERACTION|F0,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C0|INTERACTION|F1,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C0|INTERACTION|F40,-0.036295572916666664,-0.06982625325520833,-0.004313151041666667,negative,18,28,146,5,15,4
FULL_MINUS_HALF|C0|INTERACTION|FE1,-0.0006998697916666642,-0.0027506510416666625,0.001253662109374999,unresolved,22,31,139,8,10,6
FULL_MINUS_HALF|C0|INTERACTION|FE2,0.0005371093750000003,-0.01181681315104166,0.014796142578124992,unresolved,36,34,122,10,12,2
FULL_MINUS_HALF|C0|INTERACTION|FE3,-0.007096354166666663,-0.022283528645833328,0.007553304036458338,unresolved,31,35,126,10,13,1
FULL_MINUS_HALF|C0|INTERACTION|FE4,-0.013411458333333329,-0.03365966796875,0.00683959960937499,unresolved,27,38,127,8,14,2
FULL_MINUS_HALF|C0|INTERACTION|FE5,-0.02010091145833333,-0.04438476562499999,0.004136962890624996,unresolved,29,33,130,7,13,4
FULL_MINUS_HALF|C0|INTERACTION|FE6,-0.025764973958333326,-0.05317586263020833,0.000911865234375003,unresolved,27,33,132,7,13,4
FULL_MINUS_HALF|C0|INTERACTION|FE7,-0.03038736979166666,-0.060321044921875004,-0.00016072591145834152,negative,21,34,137,6,14,4
FULL_MINUS_HALF|C0|INTERACTION|FE8,-0.03357747395833333,-0.06600056966145833,-0.0013000488281250159,negative,20,30,142,6,14,4
FULL_MINUS_HALF|C0|R_F|D40,0.125732421875,0.06046346028645833,0.189453125,positive,70,29,93,20,4,0
FULL_MINUS_HALF|C0|R_F|F,0.05794474283854167,0.01697265625,0.0980001322428385,positive,88,49,55,18,6,0
FULL_MINUS_HALF|C0|R_F|F0,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C0|R_F|F1,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C0|R_F|F40,0.125732421875,0.06046346028645833,0.189453125,positive,70,29,93,20,4,0
FULL_MINUS_HALF|C0|R_F|FE1,0.005452473958333332,0.001350911458333331,0.009472656249999998,positive,68,32,92,12,6,6
FULL_MINUS_HALF|C0|R_F|FE2,0.0043782552083333325,-0.020703938802083332,0.02663126627604164,unresolved,79,53,60,12,12,0
FULL_MINUS_HALF|C0|R_F|FE3,0.022412109375,-0.009815266927083337,0.05312662760416666,unresolved,78,47,67,17,7,0
FULL_MINUS_HALF|C0|R_F|FE4,0.04064127604166667,-0.003013102213541664,0.0820674641927083,unresolved,78,46,68,17,7,0
FULL_MINUS_HALF|C0|R_F|FE5,0.06559244791666667,0.013588460286458343,0.11644368489583327,positive,74,44,74,17,7,0
FULL_MINUS_HALF|C0|R_F|FE6,0.09306640625,0.03450520833333333,0.15094482421874997,positive,75,38,79,18,6,0
FULL_MINUS_HALF|C0|R_F|FE7,0.11087239583333332,0.048632405598958324,0.17311686197916656,positive,73,33,86,18,6,0
FULL_MINUS_HALF|C0|R_F|FE8,0.121142578125,0.05634562174479168,0.1853702799479166,positive,70,31,91,19,5,0
FULL_MINUS_HALF|C0|R_H|D40,0.08943684895833333,0.03620198567708334,0.14177449544270826,positive,59,26,107,16,7,1
FULL_MINUS_HALF|C0|R_H|F,0.041632080078125,0.005565643310546876,0.07741388956705728,positive,87,48,57,17,7,0
FULL_MINUS_HALF|C0|R_H|F0,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C0|R_H|F1,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C0|R_H|F40,0.08943684895833333,0.03620198567708334,0.14177449544270826,positive,59,26,107,16,7,1
FULL_MINUS_HALF|C0|R_H|FE1,0.004752604166666668,0.0006998697916666671,0.008919677734374997,positive,61,39,92,12,6,6
FULL_MINUS_HALF|C0|R_H|FE2,0.004915364583333334,-0.02071980794270833,0.027458089192708337,unresolved,76,52,64,12,12,0
FULL_MINUS_HALF|C0|R_H|FE3,0.015315755208333335,-0.014766845703124998,0.04464680989583332,unresolved,75,44,73,15,9,0
FULL_MINUS_HALF|C0|R_H|FE4,0.02722981770833333,-0.008919677734375003,0.06271240234375,unresolved,73,43,76,15,9,0
FULL_MINUS_HALF|C0|R_H|FE5,0.045491536458333336,0.0006994628906249995,0.09017700195312496,positive,70,41,81,16,8,0
FULL_MINUS_HALF|C0|R_H|FE6,0.06730143229166667,0.016010335286458337,0.118489990234375,positive,69,35,88,16,8,0
FULL_MINUS_HALF|C0|R_H|FE7,0.08048502604166667,0.02700113932291667,0.1327193196614583,positive,66,30,96,16,8,0
FULL_MINUS_HALF|C0|R_H|FE8,0.08756510416666667,0.03427937825520834,0.1403808593749999,positive,60,27,105,16,7,1
FULL_MINUS_HALF|C1|INTERACTION|D40,0.0,0.0,0.0,observed_exact_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C1|INTERACTION|F,-7.120768229166659e-05,-0.0001444498697916666,-1.7618285302891912e-20,negative,5,11,176,5,9,10
FULL_MINUS_HALF|C1|INTERACTION|F0,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C1|INTERACTION|F1,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C1|INTERACTION|F40,0.0,0.0,0.0,observed_exact_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C1|INTERACTION|FE1,-0.00011393229166666648,-0.00037434895833333314,0.00011393229166666687,unresolved,6,8,178,5,7,12
FULL_MINUS_HALF|C1|INTERACTION|FE2,-0.00047200520833333323,-0.0009440104166666665,-6.510416666666667e-05,negative,2,9,181,2,9,13
FULL_MINUS_HALF|C1|INTERACTION|FE3,1.6276041666666666e-05,0.0,4.882812500000001e-05,unresolved,1,0,191,1,0,23
FULL_MINUS_HALF|C1|INTERACTION|FE4,0.0,0.0,0.0,observed_exact_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C1|INTERACTION|FE5,0.0,0.0,0.0,observed_exact_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C1|INTERACTION|FE6,0.0,0.0,0.0,observed_exact_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C1|INTERACTION|FE7,0.0,0.0,0.0,observed_exact_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C1|INTERACTION|FE8,0.0,0.0,0.0,observed_exact_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C1|R_F|D40,-0.0026041666666666665,-0.0078125,0.0,unresolved,0,1,191,0,1,23
FULL_MINUS_HALF|C1|R_F|F,-0.002213541666666666,-0.006862436930338541,0.00022786458333333328,unresolved,29,17,146,9,9,6
FULL_MINUS_HALF|C1|R_F|F0,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C1|R_F|F1,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C1|R_F|F40,-0.0026041666666666665,-0.0078125,0.0,unresolved,0,1,191,0,1,23
FULL_MINUS_HALF|C1|R_F|FE1,0.0006184895833333333,-0.0002608235677083337,0.0015791829427083315,unresolved,27,16,149,9,8,7
FULL_MINUS_HALF|C1|R_F|FE2,-0.002180989583333333,-0.0073421223958333335,0.0008630371093749978,unresolved,16,8,168,10,6,8
FULL_MINUS_HALF|C1|R_F|FE3,-0.003076171875,-0.008919270833333333,0.0,unresolved,0,3,189,0,2,22
FULL_MINUS_HALF|C1|R_F|FE4,-0.0026529947916666668,-0.00791015625,0.0,unresolved,0,2,190,0,2,22
FULL_MINUS_HALF|C1|R_F|FE5,-0.0026041666666666665,-0.0078125,0.0,unresolved,0,1,191,0,1,23
FULL_MINUS_HALF|C1|R_F|FE6,-0.0026041666666666665,-0.0078125,0.0,unresolved,0,1,191,0,1,23
FULL_MINUS_HALF|C1|R_F|FE7,-0.0026041666666666665,-0.0078125,0.0,unresolved,0,1,191,0,1,23
FULL_MINUS_HALF|C1|R_F|FE8,-0.0026041666666666665,-0.0078125,0.0,unresolved,0,1,191,0,1,23
FULL_MINUS_HALF|C1|R_H|D40,-0.0026041666666666665,-0.0078125,0.0,unresolved,0,1,191,0,1,23
FULL_MINUS_HALF|C1|R_H|F,-0.002284749348958333,-0.0069173685709635405,0.00014444986979166672,unresolved,27,18,147,7,8,9
FULL_MINUS_HALF|C1|R_H|F0,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C1|R_H|F1,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C1|R_H|F40,-0.0026041666666666665,-0.0078125,0.0,unresolved,0,1,191,0,1,23
FULL_MINUS_HALF|C1|R_H|FE1,0.0005045572916666668,-0.00034179687500000003,0.0014164225260416647,unresolved,26,17,149,8,7,9
FULL_MINUS_HALF|C1|R_H|FE2,-0.0026529947916666668,-0.0076660156250000005,0.00026041666666666666,unresolved,13,11,168,7,6,11
FULL_MINUS_HALF|C1|R_H|FE3,-0.003059895833333333,-0.008902994791666665,3.255208333333333e-05,unresolved,1,3,188,1,2,21
FULL_MINUS_HALF|C1|R_H|FE4,-0.0026529947916666668,-0.00791015625,0.0,unresolved,0,2,190,0,2,22
FULL_MINUS_HALF|C1|R_H|FE5,-0.0026041666666666665,-0.0078125,0.0,unresolved,0,1,191,0,1,23
FULL_MINUS_HALF|C1|R_H|FE6,-0.0026041666666666665,-0.0078125,0.0,unresolved,0,1,191,0,1,23
FULL_MINUS_HALF|C1|R_H|FE7,-0.0026041666666666665,-0.0078125,0.0,unresolved,0,1,191,0,1,23
FULL_MINUS_HALF|C1|R_H|FE8,-0.0026041666666666665,-0.0078125,0.0,unresolved,0,1,191,0,1,23
FULL_MINUS_ZERO|C0|INTERACTION|D40,-0.0419921875,-0.099127197265625,0.004561360677083312,unresolved,24,25,143,8,11,5
FULL_MINUS_ZERO|C0|INTERACTION|F,-0.02414550781250001,-0.054142201741536465,0.0027537027994791355,unresolved,35,41,116,11,13,0
FULL_MINUS_ZERO|C0|INTERACTION|F0,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_ZERO|C0|INTERACTION|F1,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_ZERO|C0|INTERACTION|F40,-0.0419921875,-0.099127197265625,0.004561360677083312,unresolved,24,25,143,8,11,5
FULL_MINUS_ZERO|C0|INTERACTION|FE1,-0.0007486979166666656,-0.0029459635416666644,0.0013020833333333346,unresolved,35,38,119,14,10,0
FULL_MINUS_ZERO|C0|INTERACTION|FE2,-0.0038085937499999947,-0.01642374674479166,0.009099121093749999,unresolved,34,37,121,12,12,0
FULL_MINUS_ZERO|C0|INTERACTION|FE3,-0.014306640625000006,-0.03754272460937501,0.007212320963541659,unresolved,33,34,125,10,14,0
FULL_MINUS_ZERO|C0|INTERACTION|FE4,-0.028092447916666662,-0.058728841145833335,9.806315104167054e-05,unresolved,29,36,127,10,13,1
FULL_MINUS_ZERO|C0|INTERACTION|FE5,-0.03235677083333333,-0.069586181640625,0.0009448242187500021,unresolved,29,35,128,11,12,1
FULL_MINUS_ZERO|C0|INTERACTION|FE6,-0.037890625000000004,-0.08618733723958333,0.003282063802083273,unresolved,28,32,132,9,13,2
FULL_MINUS_ZERO|C0|INTERACTION|FE7,-0.035921223958333325,-0.08875406901041666,0.008384195963541653,unresolved,29,28,135,10,11,3
FULL_MINUS_ZERO|C0|INTERACTION|FE8,-0.0400390625,-0.09580485026041667,0.0056481933593749934,unresolved,26,26,140,8,11,5
FULL_MINUS_ZERO|C0|R_F|D40,0.24861653645833334,0.19709676106770835,0.3025716145833333,positive,85,9,98,24,0,0
FULL_MINUS_ZERO|C0|R_F|F,0.14398193359375,0.11571014404296874,0.1730533854166667,positive,116,27,49,24,0,0
FULL_MINUS_ZERO|C0|R_F|F0,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_ZERO|C0|R_F|F1,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_ZERO|C0|R_F|F40,0.24861653645833334,0.19709676106770835,0.3025716145833333,positive,85,9,98,24,0,0
FULL_MINUS_ZERO|C0|R_F|FE1,0.011897786458333332,0.008821207682291665,0.015104166666666663,positive,105,31,56,21,3,0
FULL_MINUS_ZERO|C0|R_F|FE2,0.05021158854166666,0.03862263997395834,0.06365641276041667,positive,106,34,52,24,0,0
