key,mean,ci_low,ci_high,classification,interpretation,individual_positive,individual_negative,individual_zero,block_positive,block_negative,block_zero
NAIVE|IID|ACTIVE_C0-NOVEL_C0|D40,-0.12125651041666667,-0.20297444661458333,-0.04345296223958336,negative,carrier frequency change; first minus second arm,13,35,144,3,13,8
NAIVE|IID|ACTIVE_C0-NOVEL_C0|E1,-0.0015492757161458214,-0.0026021830240885477,-0.0005858357747395783,negative,raw accuracy; first minus second arm,61,71,60,7,17,0
NAIVE|IID|ACTIVE_C0-NOVEL_C0|E2,0.000622558593750012,-0.0005962117513020683,0.0019337972005208238,unresolved,raw accuracy; first minus second arm,74,58,60,13,11,0
NAIVE|IID|ACTIVE_C0-NOVEL_C0|E3,-0.000587972005208312,-0.002114944458007768,0.000823389689127626,unresolved,raw accuracy; first minus second arm,66,65,61,11,13,0
NAIVE|IID|ACTIVE_C0-NOVEL_C0|E4,-0.0008666992187499565,-0.002831064860026007,0.0009057362874349215,unresolved,raw accuracy; first minus second arm,61,70,61,13,11,0
NAIVE|IID|ACTIVE_C0-NOVEL_C0|E5,-0.0015075683593749796,-0.003240127563476548,0.0002413431803385433,unresolved,raw accuracy; first minus second arm,69,63,60,9,15,0
NAIVE|IID|ACTIVE_C0-NOVEL_C0|E6,-0.0015818277994791713,-0.003050918579101559,-8.11767578125014e-05,negative,raw accuracy; first minus second arm,58,74,60,11,13,0
NAIVE|IID|ACTIVE_C0-NOVEL_C0|E7,-0.0007761637369791824,-0.0029766591389974,0.0013938395182291608,unresolved,raw accuracy; first minus second arm,62,70,60,12,12,0
NAIVE|IID|ACTIVE_C0-NOVEL_C0|E8,-0.0025736490885416665,-0.004434865315755201,-0.0007870992024739333,negative,raw accuracy; first minus second arm,52,80,60,6,18,0
NAIVE|IID|ACTIVE_C0-NOVEL_C0|F,-0.0826171875,-0.14770263671875,-0.01780151367187503,negative,carrier frequency; first minus second arm,39,96,57,6,18,0
NAIVE|IID|ACTIVE_C0-NOVEL_C0|F0,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
NAIVE|IID|ACTIVE_C0-NOVEL_C0|F1,-0.014322916666666666,-0.019694010416666668,-0.009440104166666666,negative,carrier frequency; first minus second arm,9,70,113,2,18,4
NAIVE|IID|ACTIVE_C0-NOVEL_C0|F40,-0.12125651041666667,-0.20297444661458333,-0.04345296223958336,negative,carrier frequency; first minus second arm,13,35,144,3,13,8
NAIVE|IID|ACTIVE_C0-NOVEL_C0|FE1,-0.025488281249999994,-0.03948811848958333,-0.00947102864583334,negative,carrier frequency; first minus second arm,38,96,58,6,18,0
NAIVE|IID|ACTIVE_C0-NOVEL_C0|FE2,-0.04759114583333334,-0.0922216796875,-0.0018530273437500143,negative,carrier frequency; first minus second arm,28,60,104,7,17,0
NAIVE|IID|ACTIVE_C0-NOVEL_C0|FE3,-0.055989583333333336,-0.12692545572916666,0.014401855468749917,unresolved,carrier frequency; first minus second arm,23,45,124,7,15,2
NAIVE|IID|ACTIVE_C0-NOVEL_C0|FE4,-0.08343098958333334,-0.16065022786458333,-0.006965332031250005,negative,carrier frequency; first minus second arm,20,40,132,5,16,3
