key,mean,ci_low,ci_high,mean_pp,low_pp,high_pp,classification,mean_descendant_difference
P_ZERO_Q_ZERO|F_BG_SWITCH|D40,-0.015950520833333332,-0.025716145833333332,-0.0039042154947916776,-1.5950520833333333,-2.571614583333333,-0.39042154947916774,negative,-0.5104166666666666
P_ZERO_Q_ZERO|F_BG_STAY|D40,-0.007242838541666667,-0.019368489583333332,0.006591796875,-0.7242838541666667,-1.9368489583333333,0.6591796875,unresolved,-0.23177083333333334
P_ZERO_Q_ZERO|F_BG_EFFECT|D40,-0.008707682291666666,-0.026043701171875,0.009928385416666666,-0.8707682291666666,-2.6043701171875,0.9928385416666666,unresolved,-0.2786458333333333
P_ZERO_Q_ZERO|H_BG_SWITCH|D40,0.03369140625,0.012286376953125,0.05615844726562497,3.369140625,1.2286376953125,5.6158447265624964,positive,1.078125
P_ZERO_Q_ZERO|H_BG_STAY|D40,0.008951822916666666,-0.010581461588541667,0.03361206054687499,0.8951822916666666,-1.0581461588541667,3.361206054687499,unresolved,0.2864583333333333
P_ZERO_Q_ZERO|H_BG_EFFECT|D40,0.024739583333333332,-0.007975260416666666,0.056154378255208325,2.473958333333333,-0.7975260416666666,5.615437825520832,unresolved,0.7916666666666666
P_ZERO_Q_ZERO|F_BG_SWITCH_POP|U,0.6072282155354818,0.6067521174748739,0.6076751836140951,60.72282155354818,60.67521174748739,60.767518361409515,positive,
P_ZERO_Q_ZERO|F_BG_SWITCH_POP|U40,0.6055221557617188,0.6028312683105468,0.6083018620808919,60.552215576171875,60.28312683105468,60.83018620808919,positive,
P_ZERO_Q_ZERO|F_BG_STAY_POP|U,0.6071996053059896,0.6067978890736897,0.6076234213511148,60.71996053059896,60.67978890736897,60.76234213511148,positive,
P_ZERO_Q_ZERO|F_BG_STAY_POP|U40,0.6067148844401041,0.6036069234212239,0.6098990122477214,60.671488444010414,60.36069234212239,60.98990122477213,positive,
