key,mean,low,high,mean_pp,low_pp,high_pp,classification,count_unit,mean_count,low_count,high_count
STAY|U1,0.6368611653645834,0.6231557210286459,0.6515471140543619,63.686116536458336,62.31557210286459,65.15471140543619,positive,,,,
STAY|U_LATE,0.6297690888755342,0.6268885098970851,0.6329462067693726,62.97690888755342,62.68885098970851,63.294620676937264,positive,,,,
STAY|U40,0.6378021240234375,0.6242169698079427,0.6522930145263671,63.78021240234375,62.42169698079427,65.22930145263672,positive,expected_matching_bits,653.109375,639.1981770833333,667.9480468749999
STAY|U_ALL,0.6299463907877604,0.6270992660522461,0.633017857869466,62.99463907877604,62.70992660522461,63.301785786946596,positive,,,,
STAY|D1,0.0010579427083333333,-0.00146484375,0.003662109375,0.10579427083333333,-0.146484375,0.3662109375,unresolved,expected_descendants,0.033854166666666664,-0.046875,0.1171875
STAY|D40,0.022786458333333332,0.004313151041666667,0.04200032552083329,2.278645833333333,0.4313151041666667,4.2000325520833295,positive,expected_descendants,0.7291666666666666,0.13802083333333334,1.3440104166666653
PULSE|U1,0.6366246541341146,0.6229660669962566,0.6512205123901368,63.66246541341146,62.296606699625656,65.12205123901367,positive,,,,
PULSE|U_LATE,0.6298207992162459,0.6269052880442041,0.6330181301149548,62.98207992162459,62.69052880442041,63.301813011495476,positive,,,,
PULSE|U40,0.6381759643554688,0.6242460250854491,0.6538385391235352,63.817596435546875,62.424602508544915,65.38385391235352,positive,expected_matching_bits,653.4921875,639.2279296874999,669.5306640625
PULSE|U_ALL,0.6299908955891926,0.6271151590347288,0.6331026283899942,62.999089558919266,62.71151590347288,63.31026283899942,positive,,,,
PULSE|D1,-0.006184895833333333,-0.009928385416666666,-0.002113850911458344,-0.6184895833333333,-0.9928385416666666,-0.21138509114583443,negative,expected_descendants,-0.19791666666666666,-0.3177083333333333,-0.06764322916666701
PULSE|D40,-0.0006510416666666666,-0.016276041666666668,0.016927083333333332,-0.06510416666666666,-1.6276041666666667,1.6927083333333333,unresolved,expected_descendants,-0.020833333333333332,-0.5208333333333334,0.5416666666666666
CONT|U1,0.6366246541341146,0.6229660669962566,0.6512205123901368,63.66246541341146,62.296606699625656,65.12205123901367,positive,,,,
CONT|U_LATE,0.630008990948017,0.6271846445197735,0.6332040542211289,63.000899094801696,62.718464451977354,63.32040542211289,positive,,,,
CONT|U40,0.6388015747070312,0.6239726384480795,0.6552321116129557,63.880157470703125,62.39726384480795,65.52321116129556,positive,expected_matching_bits,654.1328125,638.9479817708334,670.9576822916666
CONT|U_ALL,0.6301743825276693,0.6273513555526733,0.6333128452301026,63.01743825276694,62.73513555526733,63.331284523010254,positive,,,,
