key,mean,ci_low,ci_high,classification,interpretation,individual_positive,individual_negative,individual_zero,block_positive,block_negative,block_zero
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|D40,0.23649088541666666,0.170068359375,0.3035644531249999,positive,carrier frequency change; direct law difference,51,5,136,20,0,4
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E1,-0.00031840006510415464,-0.0007100931803385294,8.448282877607061e-05,unresolved,raw accuracy; direct law difference,41,43,108,6,13,5
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E2,0.0013498942057291834,-5.116780598955644e-05,0.0027822367350260327,unresolved,raw accuracy; direct law difference,67,44,81,16,7,1
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E3,0.006165568033854175,0.0019974517822265226,0.010380706787109428,positive,raw accuracy; direct law difference,71,40,81,18,6,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E4,0.015668741861979158,0.011447092692057296,0.01977228800455728,positive,raw accuracy; direct law difference,82,30,80,22,2,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E5,0.02378946940104165,0.0176531982421875,0.029648844401041596,positive,raw accuracy; direct law difference,86,25,81,23,1,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E6,0.02874654134114583,0.022440109252929715,0.03474662780761718,positive,raw accuracy; direct law difference,85,28,79,24,0,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E7,0.03718872070312502,0.030257110595703147,0.044121475219726584,positive,raw accuracy; direct law difference,84,29,79,24,0,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E8,0.04706013997395831,0.03929880777994792,0.0550294494628906,positive,raw accuracy; direct law difference,89,24,79,24,0,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|F,0.1687906901041667,0.12336995442708333,0.21456675211588533,positive,carrier frequency; direct law difference,69,19,104,23,1,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|F0,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|F1,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|F40,0.23649088541666666,0.170068359375,0.3035644531249999,positive,carrier frequency; direct law difference,51,5,136,20,0,4
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|FE1,0.005696614583333335,0.0009440104166666681,0.010579427083333334,positive,carrier frequency; direct law difference,47,22,123,14,5,5
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|FE2,0.04632161458333334,0.02034423828125,0.07305013020833331,positive,carrier frequency; direct law difference,61,22,109,17,7,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|FE3,0.15013020833333332,0.10100748697916667,0.19984049479166663,positive,carrier frequency; direct law difference,59,18,115,21,3,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|FE4,0.2124674479166667,0.15721516927083334,0.26690022786458334,positive,carrier frequency; direct law difference,59,8,125,22,1,1
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|FE5,0.22395833333333334,0.16777180989583332,0.28108805338541665,positive,carrier frequency; direct law difference,55,7,130,22,1,1
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|FE6,0.23382161458333336,0.17248942057291666,0.2965519205729167,positive,carrier frequency; direct law difference,53,6,133,22,0,2
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|FE7,0.23955078124999998,0.17414632161458335,0.3055029296875,positive,carrier frequency; direct law difference,51,6,135,21,0,3
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|FE8,0.23837890625,0.17364908854166666,0.30507812500000003,positive,carrier frequency; direct law difference,51,5,136,21,0,3
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|MLOSS,-0.019956334431966146,-0.024015013376871733,-0.015879815419514977,negative,raw mismatch; direct law difference,30,84,78,0,24,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|U,0.019956334431966063,0.015879815419514883,0.024015013376871657,positive,raw accuracy; direct law difference,84,30,78,24,0,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|U0,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|U1,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|U40,0.0540771484375,0.04476394653320312,0.06389935811360677,positive,raw accuracy; direct law difference,95,18,79,24,0,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|D40,0.21337890625,0.14827067057291668,0.2804484049479166,positive,carrier frequency change; direct law difference,50,9,133,21,2,1
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|E1,-0.00010070800781248242,-0.0002716573079426927,7.62939453125325e-05,unresolved,raw accuracy; direct law difference,22,26,144,8,10,6
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|E2,0.0016286214192708325,0.0003763071695963851,0.002902272542317701,positive,raw accuracy; direct law difference,55,24,113,17,7,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|E3,0.00685221354166668,0.0033130900065104106,0.010464528401692787,positive,raw accuracy; direct law difference,57,27,108,20,4,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|E4,0.014415486653645804,0.009967931111653618,0.018533503214518184,positive,raw accuracy; direct law difference,66,18,108,22,2,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|E5,0.024006144205729125,0.018194758097330697,0.029879328409830617,positive,raw accuracy; direct law difference,74,11,107,23,1,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|E6,0.02956746419270831,0.022815831502278644,0.036091435750325494,positive,raw accuracy; direct law difference,75,11,106,24,0,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|E7,0.03604634602864584,0.029233627319335962,0.043071543375651035,positive,raw accuracy; direct law difference,74,12,106,24,0,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|E8,0.04564208984374999,0.037744649251302075,0.05400924682617184,positive,raw accuracy; direct law difference,77,8,107,24,0,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|F,0.14246419270833333,0.09826690673828126,0.18533070882161456,positive,carrier frequency; direct law difference,62,22,108,21,3,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|F0,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|F1,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|F40,0.21337890625,0.14827067057291668,0.2804484049479166,positive,carrier frequency; direct law difference,50,9,133,21,2,1
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|FE1,0.002766927083333334,-9.76562499999998e-05,0.005989583333333333,unresolved,carrier frequency; direct law difference,31,26,135,10,8,6
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|FE2,0.02802734375,0.004130859374999999,0.05221354166666667,positive,carrier frequency; direct law difference,47,31,114,14,10,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|FE3,0.11533203124999998,0.06144856770833334,0.16591959635416667,positive,carrier frequency; direct law difference,51,25,116,19,5,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|FE4,0.17167968749999998,0.11549397786458336,0.22588297526041667,positive,carrier frequency; direct law difference,53,16,123,21,3,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|FE5,0.1909830729166667,0.1374560546875,0.2436873372395833,positive,carrier frequency; direct law difference,52,13,127,22,2,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|FE6,0.20260416666666667,0.14579915364583332,0.26026123046874994,positive,carrier frequency; direct law difference,52,11,129,22,2,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|FE7,0.21204427083333335,0.14944580078125,0.27480794270833336,positive,carrier frequency; direct law difference,50,10,132,21,2,1
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|FE8,0.2162760416666667,0.15214436848958335,0.2824617513020833,positive,carrier frequency; direct law difference,50,9,133,21,2,1
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|MLOSS,-0.01975720723470051,-0.023917175928751616,-0.015576308568318679,negative,raw mismatch; direct law difference,16,70,106,0,24,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|U,0.01975720723470049,0.015576308568318662,0.023917175928751602,positive,raw accuracy; direct law difference,70,16,106,24,0,0
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|U0,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|U1,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C0-SHAM_C0|U40,0.050938924153645836,0.04247016906738282,0.0599371592203776,positive,raw accuracy; direct law difference,72,13,107,24,0,0
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|D40,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency change; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|E1,1.4241536458329632e-05,0.0,4.27246093749889e-05,unresolved,raw accuracy; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|E2,0.00020955403645833703,0.0,0.0006123860677083407,unresolved,raw accuracy; direct law difference,2,0,190,2,0,22
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|E3,0.0004425048828125,-0.00013427734375000278,0.0014170328776041685,unresolved,raw accuracy; direct law difference,1,1,190,1,1,22
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|E4,0.00045064290364583054,-1.2207031250002776e-05,0.001360066731770827,unresolved,raw accuracy; direct law difference,1,1,190,1,1,22
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|E5,0.0009073893229166694,0.0,0.0025146484375000028,unresolved,raw accuracy; direct law difference,2,0,190,2,0,22
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|E6,0.0008097330729166657,-0.0002716064453125028,0.0026102701822916657,unresolved,raw accuracy; direct law difference,1,1,190,1,1,22
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|E7,0.001089477539062499,0.0,0.0030507405598958343,unresolved,raw accuracy; direct law difference,2,0,190,2,0,22
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|E8,0.0011149088541666657,-0.00013732910156251388,0.0034362792968750063,unresolved,raw accuracy; direct law difference,1,1,190,1,1,22
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|F,0.004317220052083333,0.0,0.012951660156250001,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|F0,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|F1,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|F40,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|FE1,0.0,0.0,0.0,observed_exact_zero,sampled equality; not a design guarantee,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|FE2,0.0032877604166666667,0.0,0.00986328125,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|FE3,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|FE4,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|FE5,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|FE6,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|FE7,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|FE8,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|MLOSS,-0.0006298065185546901,-0.001876958211263027,0.0,unresolved,raw mismatch; direct law difference,0,3,189,0,3,21
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|U,0.0006298065185546958,0.0,0.0018769582112630329,unresolved,raw accuracy; direct law difference,2,1,189,3,0,21
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|U0,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|U1,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C1-NOVEL_C1|U40,0.0011494954427083333,-0.0008087158203125,0.003987630208333333,unresolved,raw accuracy; direct law difference,1,1,190,1,1,22
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|D40,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency change; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|E1,0.0,0.0,0.0,observed_exact_zero,sampled equality; not a design guarantee,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|E2,0.00020141601562500186,0.0,0.0006042480468750056,unresolved,raw accuracy; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|E3,0.00048726399739583426,0.0,0.0014617919921875028,unresolved,raw accuracy; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|E4,0.00045471191406249817,0.0,0.0013641357421874944,unresolved,raw accuracy; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|E5,0.0008036295572916666,0.0,0.002410888671875,unresolved,raw accuracy; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|E6,0.0009002685546875,0.0,0.0027008056640625,unresolved,raw accuracy; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|E7,0.0009806315104166675,0.0,0.0029418945312500028,unresolved,raw accuracy; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|E8,0.0011606852213541703,0.0,0.003482055664062511,unresolved,raw accuracy; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|F,0.004317220052083333,0.0,0.012951660156250001,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|F0,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|F1,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|F40,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|FE1,0.0,0.0,0.0,observed_exact_zero,sampled equality; not a design guarantee,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|FE2,0.0032877604166666667,0.0,0.00986328125,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|FE3,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|FE4,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|FE5,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|FE6,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|FE7,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|FE8,0.005208333333333333,0.0,0.015625,unresolved,carrier frequency; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|MLOSS,-0.0006235758463541697,-0.0018707275390625066,0.0,unresolved,raw mismatch; direct law difference,0,2,190,0,2,22
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|U,0.0006235758463541732,0.0,0.00187072753906251,unresolved,raw accuracy; direct law difference,1,1,190,2,0,22
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|U0,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|U1,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_HALF|ACTIVE_C1-SHAM_C1|U40,0.0014190673828125,0.0,0.0042572021484375,unresolved,raw accuracy; direct law difference,1,0,191,1,0,23
BEST32|FULL_MINUS_ZERO|ACTIVE_C0-NOVEL_C0|D40,0.3414713541666667,0.2916666666666667,0.3935546875,positive,carrier frequency change; direct law difference,62,3,127,24,0,0
BEST32|FULL_MINUS_ZERO|ACTIVE_C0-NOVEL_C0|E1,-9.663899739580095e-05,-0.0007049814860025729,0.00048731486002607464,unresolved,raw accuracy; direct law difference,65,50,77,15,9,0
BEST32|FULL_MINUS_ZERO|ACTIVE_C0-NOVEL_C0|E2,0.0017191569010416529,0.00016652425130212086,0.003163782755533826,positive,raw accuracy; direct law difference,69,49,74,17,7,0
BEST32|FULL_MINUS_ZERO|ACTIVE_C0-NOVEL_C0|E3,0.007745361328125019,0.005206807454427062,0.010363108317057307,positive,raw accuracy; direct law difference,82,36,74,22,2,0
BEST32|FULL_MINUS_ZERO|ACTIVE_C0-NOVEL_C0|E4,0.014730834960937522,0.010986328125000019,0.018280181884765684,positive,raw accuracy; direct law difference,78,38,76,22,2,0
BEST32|FULL_MINUS_ZERO|ACTIVE_C0-NOVEL_C0|E5,0.024260457356770803,0.01903668721516929,0.02932388305664054,positive,raw accuracy; direct law difference,92,26,74,24,0,0
BEST32|FULL_MINUS_ZERO|ACTIVE_C0-NOVEL_C0|E6,0.032360839843749996,0.02582354227701821,0.03944839477539065,positive,raw accuracy; direct law difference,87,31,74,24,0,0
BEST32|FULL_MINUS_ZERO|ACTIVE_C0-NOVEL_C0|E7,0.04008890787760419,0.03210187276204425,0.04853078206380209,positive,raw accuracy; direct law difference,99,19,74,24,0,0
BEST32|FULL_MINUS_ZERO|ACTIVE_C0-NOVEL_C0|E8,0.04730122884114581,0.03890530904134113,0.05591458638509113,positive,raw accuracy; direct law difference,91,27,74,24,0,0
BEST32|FULL_MINUS_ZERO|ACTIVE_C0-NOVEL_C0|F,0.23363444010416667,0.19499481201171878,0.2719751993815104,positive,carrier frequency; direct law difference,83,17,92,24,0,0
BEST32|FULL_MINUS_ZERO|ACTIVE_C0-NOVEL_C0|F0,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_ZERO|ACTIVE_C0-NOVEL_C0|F1,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
BEST32|FULL_MINUS_ZERO|ACTIVE_C0-NOVEL_C0|F40,0.3414713541666667,0.2916666666666667,0.3935546875,positive,carrier frequency; direct law difference,62,3,127,24,0,0
