key,mean,ci_low,ci_high,classification,path_positive,path_negative,path_zero,block_positive,block_negative,block_zero
FULL_MINUS_HALF|C0|ISO_H_MINUS_F|D40,0.11173502604166667,0.05370890299479167,0.17440795898437494,positive,63,27,102,16,8,0
FULL_MINUS_HALF|C0|ISO_H_MINUS_F|F,0.049904378255208326,0.009988047281901048,0.09185699462890605,positive,86,49,57,15,9,0
FULL_MINUS_HALF|C0|ISO_H_MINUS_F|F0,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C0|ISO_H_MINUS_F|F1,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C0|ISO_H_MINUS_F|F40,0.11173502604166667,0.05370890299479167,0.17440795898437494,positive,63,27,102,16,8,0
FULL_MINUS_HALF|C0|ISO_H_MINUS_F|FE1,0.0044921875000000005,0.0004553222656250003,0.00888671875,positive,62,37,93,11,7,6
FULL_MINUS_HALF|C0|ISO_H_MINUS_F|FE2,0.001399739583333336,-0.023295898437499993,0.024109293619791645,unresolved,73,54,65,12,12,0
FULL_MINUS_HALF|C0|ISO_H_MINUS_F|FE3,0.013020833333333336,-0.01803670247395833,0.04603068033854166,unresolved,74,46,72,14,10,0
FULL_MINUS_HALF|C0|ISO_H_MINUS_F|FE4,0.031022135416666662,-0.008612060546875001,0.074285888671875,unresolved,74,42,76,14,10,0
FULL_MINUS_HALF|C0|ISO_H_MINUS_F|FE5,0.05856119791666667,0.0068184407552083345,0.11556152343749998,positive,69,40,83,15,9,0
FULL_MINUS_HALF|C0|ISO_H_MINUS_F|FE6,0.08079427083333333,0.024278157552083332,0.14230997721354163,positive,69,34,89,15,9,0
FULL_MINUS_HALF|C0|ISO_H_MINUS_F|FE7,0.10069986979166666,0.043010253906250004,0.1645963541666666,positive,67,30,95,15,9,0
FULL_MINUS_HALF|C0|ISO_H_MINUS_F|FE8,0.10924479166666667,0.04982950846354167,0.17170654296874976,positive,64,27,101,16,8,0
FULL_MINUS_HALF|C0|MIX_H_MINUS_F|D40,0.121337890625,0.05475870768229167,0.187664794921875,positive,70,28,94,20,4,0
FULL_MINUS_HALF|C0|MIX_H_MINUS_F|F,0.05665283203124999,0.014418945312499999,0.09890726725260415,positive,90,49,53,20,4,0
FULL_MINUS_HALF|C0|MIX_H_MINUS_F|F0,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C0|MIX_H_MINUS_F|F1,0.0,0.0,0.0,structural_zero,0,0,192,0,0,24
FULL_MINUS_HALF|C0|MIX_H_MINUS_F|F40,0.121337890625,0.05475870768229167,0.187664794921875,positive,70,28,94,20,4,0
FULL_MINUS_HALF|C0|MIX_H_MINUS_F|FE1,0.005598958333333332,0.0013505045572916668,0.009733072916666665,positive,68,34,90,12,5,7
FULL_MINUS_HALF|C0|MIX_H_MINUS_F|FE2,0.005192057291666666,-0.02013468424479167,0.027408854166666666,unresolved,78,55,59,13,11,0
FULL_MINUS_HALF|C0|MIX_H_MINUS_F|FE3,0.021940104166666658,-0.010633138020833334,0.054303385416666634,unresolved,80,46,66,15,9,0
FULL_MINUS_HALF|C0|MIX_H_MINUS_F|FE4,0.03833007812499999,-0.007568766276041666,0.08190999348958328,unresolved,79,45,68,17,7,0
FULL_MINUS_HALF|C0|MIX_H_MINUS_F|FE5,0.06290690104166667,0.009340006510416672,0.11583740234375,positive,75,43,74,18,6,0
FULL_MINUS_HALF|C0|MIX_H_MINUS_F|FE6,0.09332682291666668,0.03438435872395833,0.1529862467447916,positive,75,38,79,20,4,0
FULL_MINUS_HALF|C0|MIX_H_MINUS_F|FE7,0.108447265625,0.04589599609375,0.17096679687499994,positive,73,33,86,19,5,0
