key,mean,ci_low,ci_high,classification,interpretation,individual_positive,individual_negative,individual_zero,block_positive,block_negative,block_zero
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|D40,0.23649088541666666,0.170068359375,0.3035644531249999,positive,carrier frequency change; direct law difference,51,5,136,20,0,4
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E1,-0.00031840006510415464,-0.0007100931803385294,8.448282877607061e-05,unresolved,raw accuracy; direct law difference,41,43,108,6,13,5
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E2,0.0013498942057291834,-5.116780598955644e-05,0.0027822367350260327,unresolved,raw accuracy; direct law difference,67,44,81,16,7,1
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E3,0.006165568033854175,0.0019974517822265226,0.010380706787109428,positive,raw accuracy; direct law difference,71,40,81,18,6,0
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E4,0.015668741861979158,0.011447092692057296,0.01977228800455728,positive,raw accuracy; direct law difference,82,30,80,22,2,0
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E5,0.02378946940104165,0.0176531982421875,0.029648844401041596,positive,raw accuracy; direct law difference,86,25,81,23,1,0
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E6,0.02874654134114583,0.022440109252929715,0.03474662780761718,positive,raw accuracy; direct law difference,85,28,79,24,0,0
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E7,0.03718872070312502,0.030257110595703147,0.044121475219726584,positive,raw accuracy; direct law difference,84,29,79,24,0,0
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|E8,0.04706013997395831,0.03929880777994792,0.0550294494628906,positive,raw accuracy; direct law difference,89,24,79,24,0,0
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|F,0.1687906901041667,0.12336995442708333,0.21456675211588533,positive,carrier frequency; direct law difference,69,19,104,23,1,0
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|F0,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|F1,0.0,0.0,0.0,structural_zero,design-implied zero,0,0,192,0,0,24
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|F40,0.23649088541666666,0.170068359375,0.3035644531249999,positive,carrier frequency; direct law difference,51,5,136,20,0,4
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|FE1,0.005696614583333335,0.0009440104166666681,0.010579427083333334,positive,carrier frequency; direct law difference,47,22,123,14,5,5
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|FE2,0.04632161458333334,0.02034423828125,0.07305013020833331,positive,carrier frequency; direct law difference,61,22,109,17,7,0
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|FE3,0.15013020833333332,0.10100748697916667,0.19984049479166663,positive,carrier frequency; direct law difference,59,18,115,21,3,0
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|FE4,0.2124674479166667,0.15721516927083334,0.26690022786458334,positive,carrier frequency; direct law difference,59,8,125,22,1,1
RESIDENT40|FULL_MINUS_HALF|ACTIVE_C0-NOVEL_C0|FE5,0.22395833333333334,0.16777180989583332,0.28108805338541665,positive,carrier frequency; direct law difference,55,7,130,22,1,1
